candidate_id,name,current_title,current_company,location_str,country,years_total,years_relevant,title_relevance_score,retrieval_prod_score,vector_db_score,python_evidence_score,ranking_eval_score,product_experience_score,career_corroboration_score,services_only_flag,research_only_flag,keyword_stuffing_flag,location_match_score,notice_period_score,redrob_behavioral_multiplier,consistency_penalty,is_honeypot,years_soft_band_score
CAND_0000001,Ira Vora,Backend Engineer,Mindtree,Toronto,Canada,6.9,0.0,0.4,0.25,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.385,0.75,0.7547999999999999,1.0,0.0,1.0
CAND_0000002,Saanvi Sethi,Operations Manager,Wipro,"Chennai, Tamil Nadu",India,12.5,0.0,0.02,0.375,0.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.7051999999999999,0.75,0.6908,1.0,0.0,0.08892161745938634
CAND_0000003,Yash Agarwal,Customer Support,TCS,Austin,USA,1.1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.385,0.5,0.6222,1.0,0.0,0.06174143608342907
CAND_0000004,Anil Bose,Marketing Manager,Dunder Mifflin,Sydney,Australia,3.8,0.0,0.02,0.375,0.0,0.0,0.0,0.6666666666666666,0.1,0.0,0.0,0.0,0.55,0.5,0.5116,1.0,0.0,0.44078414080532446
CAND_0000005,Aisha Sethi,Accountant,Stark Industries,"Gurgaon, Haryana",India,11.0,0.0,0.02,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.86,1.0,0.7664,1.0,0.0,0.27803730045319414
CAND_0000006,Rajesh Desai,Business Analyst,Wayne Enterprises,Austin,USA,6.0,0.0,0.02,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.451,0.5,0.5232,1.0,0.0,1.0
CAND_0000007,Vihaan Bose,Civil Engineer,Wipro,"Gurgaon, Haryana",India,5.5,0.0,0.02,0.125,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.86,1.0,0.7283999999999999,1.0,0.0,1.0
CAND_0000008,Shaurya Chatterjee,Operations Manager,Wipro,"Noida, Uttar Pradesh",India,3.6,0.0,0.02,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.5,0.6266000000000002,1.0,0.0,0.39661073328996505
CAND_0000009,Amit Shah,Mechanical Engineer,Dunder Mifflin,New York,USA,11.0,0.0,0.02,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3157,0.5,0.5820000000000001,1.0,0.0,0.27803730045319414
CAND_0000010,Aarav Kapoor,Data Engineer,Ola,London,UK,4.6,0.0,0.65,0.0,0.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.385,0.5,0.5766,1.0,0.0,0.6307788205474282
CAND_0000011,Deepak Desai,QA Engineer,Pied Piper,"Hyderabad, Telangana",India,2.0,0.0,0.1,0.25,0.0,0.4,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.7051999999999999,0.5,0.6055999999999999,1.0,0.0,0.1353352832366127
CAND_0000012,Anjali Krishnan,Operations Manager,Stark Industries,"Chandigarh, Chandigarh",India,1.1,0.0,0.02,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.7051999999999999,0.75,0.5738000000000001,1.0,0.0,0.06174143608342907
CAND_0000013,Pari Nair,Civil Engineer,Globex Inc,Dubai,UAE,1.1,0.0,0.02,0.0,0.0,0.2,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3157,1.0,0.6606000000000002,1.0,0.0,0.06174143608342907
CAND_0000014,Atharv Joshi,Frontend Engineer,Zomato,"Hyderabad, Telangana",India,8.4,0.0,0.1,0.25,0.0,0.0,0.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.7051999999999999,0.5,0.6738,1.0,0.0,1.0
CAND_0000015,Rahul Agarwal,Software Engineer,Razorpay,"Trivandrum, Kerala",India,5.4,0.675,0.4,0.625,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.7051999999999999,0.5,0.6752,1.0,0.0,1.0
CAND_0000016,Aanya Malhotra,Accountant,Infosys,"Gurgaon, Haryana",India,5.3,0.0,0.02,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.86,0.75,0.7550000000000002,1.0,0.0,1.0
CAND_0000017,Anil Pandey,Accountant,Wipro,"Bangalore, Karnataka",India,12.3,0.0,0.02,0.25,0.0,0.0,0.0,0.5,0.125,0.0,0.0,0.0,0.86,0.5,0.5024,1.0,0.0,0.10569475594148847
CAND_0000018,Vivaan Reddy,Frontend Engineer,Acme Corp,"Bhubaneswar, Odisha",India,6.6,0.0,0.1,0.25,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.86,0.5,0.5428,1.0,0.0,1.0
CAND_0000019,Myra Mishra,Project Manager,Wayne Enterprises,"Trivandrum, Kerala",India,6.5,0.0,0.02,0.25,0.0,0.0,0.0,0.8333333333333334,0.125,0.0,0.0,0.0,0.86,0.75,0.6150000000000001,1.0,0.0,1.0
CAND_0000020,Aditya Iyengar,Mechanical Engineer,Wipro,"Ahmedabad, Gujarat",India,6.3,0.0,0.02,0.25,0.0,0.2,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.7051999999999999,1.0,0.7243999999999999,1.0,0.0,1.0
CAND_0000021,Rahul Joshi,Project Manager,Wipro,"Bhubaneswar, Odisha",India,14.5,0.0,0.02,0.25,0.0,0.2,0.0,0.8333333333333334,0.0,0.0,0.0,1.0,0.86,0.75,0.6472,1.0,0.0,0.011108996538242306
CAND_0000022,Shaurya Chatterjee,Mechanical Engineer,Hooli,Sydney,Australia,1.1,0.0,0.02,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3157,0.5,0.6072000000000001,1.0,0.0,0.06174143608342907
CAND_0000023,Kavya Nair,Software Engineer,Acme Corp,New York,USA,3.7,0.0,0.4,0.25,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.3157,1.0,0.7729999999999999,1.0,0.0,0.4184491089130355
CAND_0000024,Rajesh Arora,HR Manager,TCS,"Trivandrum, Kerala",India,7.5,0.0,0.02,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7051999999999999,0.75,0.7210000000000002,1.0,0.0,1.0
CAND_0000025,Anika Kumar,Frontend Engineer,Tech Mahindra,"Vizag, Andhra Pradesh",India,7.3,0.0,0.1,0.25,0.0,0.2,0.0,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,0.86,0.5,0.7104000000000001,1.0,0.0,1.0
CAND_0000026,Neha Rao,Graphic Designer,Initech,"Kochi, Kerala",India,6.8,0.0,0.02,0.25,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.86,1.0,0.6956,1.0,0.0,1.0
CAND_0000027,Avni Pandey,DevOps Engineer,Infosys,"Kolkata, West Bengal",India,3.9,0.4875,0.1,0.375,0.0,0.0,0.0,0.3333333333333333,0.125,0.0,0.0,0.0,0.86,0.5,0.7291999999999998,1.0,0.0,0.46356901749599844
CAND_0000028,Rohan Krishnan,Operations Manager,Wipro,Dubai,UAE,1.1,0.0,0.02,0.125,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.451,0.75,0.6417999999999999,1.0,0.0,0.06174143608342907
CAND_0000029,Priya Sethi,Business Analyst,Wipro,"Noida, Uttar Pradesh",India,7.2,0.0,0.02,0.25,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.75,0.6092,1.0,0.0,1.0
CAND_0000030,Ritu Pillai,Marketing Manager,Dunder Mifflin,"Kochi, Kerala",India,10.0,0.0,0.02,0.25,0.0,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,0.7051999999999999,0.75,0.7052,1.0,0.0,0.4867522559599717
CAND_0000031,Ela Singh,Recommendation Systems Engineer,Swiggy,"Hyderabad, Telangana",India,6.0,0.75,0.1,0.25,0.0,0.4,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.7051999999999999,0.75,0.8066000000000001,1.0,0.0,1.0
CAND_0000032,Pranav Agarwal,.NET Developer,Cognizant,"Gurgaon, Haryana",India,8.1,1.0125,0.1,0.375,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.7051999999999999,0.5,0.6212000000000001,1.0,0.0,1.0
CAND_0000033,Shreya Nair,Graphic Designer,Wipro,"Pune, Maharashtra",India,8.6,0.0,0.02,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.82,1.0,0.6590000000000001,1.0,0.0,1.0
CAND_0000034,Yash Chatterjee,Business Analyst,Wipro,"Ahmedabad, Gujarat",India,14.5,0.0,0.02,0.375,0.0,0.2,0.0,1.0,0.1,0.0,0.0,0.0,0.86,0.5,0.5324,1.0,0.0,0.011108996538242306
CAND_0000035,Vikram Verma,Full Stack Developer,Globex Inc,"Hyderabad, Telangana",India,4.3,0.0,0.1,0.125,0.0,0.0,0.0,0.5,0.15384615384615385,0.0,0.0,0.0,0.86,0.75,0.6172,1.0,0.0,0.5581095554166826
CAND_0000036,Ananya Bose,Project Manager,Initech,"Trivandrum, Kerala",India,11.3,0.0,0.02,0.25,0.0,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.0,0.7051999999999999,0.75,0.7318000000000001,1.0,0.0,0.2278198713980089
CAND_0000037,Ved Sen,Business Analyst,Stark Industries,Dubai,UAE,14.3,0.0,0.02,0.125,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.385,1.0,0.7490000000000001,1.0,0.0,0.014077183271574818
CAND_0000038,Myra Trivedi,Java Developer,Swiggy,"Coimbatore, Tamil Nadu",India,6.7,0.8375,0.1,0.25,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.7051999999999999,0.5,0.6608,1.0,0.0,1.0
CAND_0000039,Sai Saxena,Marketing Manager,Acme Corp,"Bhubaneswar, Odisha",India,3.9,0.0,0.02,0.25,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.86,1.0,0.7394000000000001,1.0,0.0,0.46356901749599844
CAND_0000040,Dev Vora,Customer Support,Globex Inc,"Kochi, Kerala",India,1.6,0.0,0.02,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.7051999999999999,0.5,0.6366000000000002,1.0,0.0,0.09702370004128698
CAND_0000041,Anjali Khanna,Operations Manager,Hooli,"Delhi, Delhi",India,13.7,0.0,0.02,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7051999999999999,0.5,0.6232000000000002,1.0,0.0,0.027565232289593376
CAND_0000042,Riya Mukherjee,HR Manager,Wayne Enterprises,Berlin,Germany,5.0,0.0,0.02,0.25,0.0,0.0,0.0,0.6666666666666666,0.1,0.0,0.0,0.0,0.451,1.0,0.6716,1.0,0.0,1.0
CAND_0000043,Aarav Sen,Cloud Engineer,Swiggy,"Chandigarh, Chandigarh",India,8.3,0.0,0.1,0.375,0.0,0.4,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.7051999999999999,0.5,0.5344,1.0,0.0,1.0
CAND_0000044,Vihaan Naidu,Frontend Engineer,Tech Mahindra,"Indore, Madhya Pradesh",India,5.7,0.7125,0.1,0.25,0.0,0.2,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.7051999999999999,0.5,0.6522,1.0,0.0,1.0
CAND_0000045,Vikram Mittal,Project Manager,Initech,"Indore, Madhya Pradesh",India,12.2,0.0,0.02,0.25,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.86,0.75,0.7170000000000001,1.0,0.0,0.11495667048603513
CAND_0000046,Dev Nair,Mechanical Engineer,Hooli,London,UK,7.8,0.0,0.02,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.451,1.0,0.6376000000000002,1.0,0.0,1.0
CAND_0000047,Avni Bansal,Project Manager,TCS,"Kochi, Kerala",India,2.4,0.0,0.02,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.7051999999999999,0.5,0.5626,1.0,0.0,0.1840035919677199
CAND_0000048,Vihaan Saxena,Mobile Developer,CRED,"Hyderabad, Telangana",India,9.7,1.2125,0.1,0.5,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.7051999999999999,0.5,0.6532000000000001,1.0,0.0,0.5581095554166827
CAND_0000049,Tanya Chowdary,Mechanical Engineer,Wayne Enterprises,Berlin,Germany,11.8,0.0,0.02,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.385,0.5,0.6118,1.0,0.0,0.1583100226219387
CAND_0000050,Naina Bose,Business Analyst,Infosys,"Gurgaon, Haryana",India,13.5,0.0,0.02,0.25,0.0,0.0,0.0,0.5,0.14285714285714285,0.0,0.0,0.0,0.86,0.5,0.6028,1.0,0.0,0.034047454734599344
CAND_0000051,Meera Arora,Cloud Engineer,HCL,Dubai,UAE,6.2,0.0,0.1,0.0,0.0,0.0,0.0,0.3333333333333333,0.1,0.0,0.0,0.0,0.55,0.5,0.7856,1.0,0.0,1.0
CAND_0000052,Vivaan Khanna,Mechanical Engineer,Dunder Mifflin,"Gurgaon, Haryana",India,1.4,0.0,0.02,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.7051999999999999,0.5,0.6026,1.0,0.0,0.08136581966452533
CAND_0000053,Ela Mishra,Graphic Designer,Wipro,"Mumbai, Maharashtra",India,3.9,0.0,0.02,0.125,0.0,0.4,0.0,0.5,0.1,0.0,0.0,0.0,0.86,0.5,0.6026,1.0,0.0,0.46356901749599844
CAND_0000054,Ved Malhotra,QA Engineer,Stark Industries,"Indore, Madhya Pradesh",India,4.9,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7051999999999999,0.5,0.6424,1.0,0.0,0.7027177228683977
CAND_0000055,Pari Tiwari,Full Stack Developer,Razorpay,"Indore, Madhya Pradesh",India,7.3,0.9125,0.1,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7051999999999999,0.5,0.5916,1.0,0.0,1.0
CAND_0000056,Anjali Sen,Frontend Engineer,TCS,Singapore,Singapore,1.3,0.0,0.1,0.125,0.0,0.4,0.0,0.3333333333333333,0.14285714285714285,1.0,0.0,0.0,0.3157,0.75,0.6664000000000001,1.0,0.0,0.07433302085078965
CAND_0000057,Shreya Rao,Customer Support,Acme Corp,"Bhubaneswar, Odisha",India,3.3,0.0,0.02,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.86,0.75,0.6218,1.0,0.0,0.33447270571756393
CAND_0000058,Pranav Naidu,HR Manager,Pied Piper,San Francisco,USA,10.1,0.0,0.02,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.55,0.5,0.6798,1.0,0.0,0.4635690174959986
CAND_0000059,Suresh Mishra,Frontend Engineer,TCS,"Noida, Uttar Pradesh",India,1.5,0.0,0.1,0.125,0.0,0.0,0.0,0.3333333333333333,0.07692307692307693,1.0,0.0,0.0,1.0,0.5,0.563,1.0,0.0,0.08892161745938634
CAND_0000060,Kavya Iyer,Cloud Engineer,Razorpay,"Coimbatore, Tamil Nadu",India,8.0,1.0,0.1,0.375,0.0,0.2,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.86,0.5,0.6376000000000001,1.0,0.0,1.0
CAND_0000061,Advaith Dalal,DevOps Engineer,Pied Piper,"Vizag, Andhra Pradesh",India,7.7,0.9625,0.1,0.5,0.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.86,0.75,0.5836,1.0,0.0,1.0
CAND_0000062,Nikhil Arora,DevOps Engineer,Tech Mahindra,Seattle,USA,4.3,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.385,0.5,0.7766,1.0,0.0,0.5581095554166826
CAND_0000063,Myra Naidu,Java Developer,Mphasis,"Delhi, Delhi",India,5.4,0.675,0.1,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.7051999999999999,0.5,0.7796000000000001,1.0,0.0,1.0
